name_id;Finishing;ShortPassing;LongPassing;BallControl;Dribbling;Acceleration;SprintSpeed;Agility;Balance;ShotPower;Jumping;Stamina;Aggression;Interceptions;Vision;GKHandling;GKKicking;GKReflexes
1;95;90;87;96;97;91;86;91;95;85;68;72;48;22;94;11;15;8
2;94;81;77;94;88;89;91;87;70;95;95;88;63;29;82;11;15;11
3;87;84;78;95;96;94;90;96;84;80;61;81;56;36;87;9;15;11
4;13;50;51;42;18;57;58;60;43;31;67;43;38;30;68;85;87;94
5;82;92;91;91;86;78;76;79;77;91;63;90;76;61;94;13;5;13
6;84;89;83;94;95;94;88;95;94;82;56;83;54;41;89;12;6;8
7;72;93;88;93;90;80;72;93;94;79;68;89;62;83;92;9;7;9
8;93;82;64;90;87;86;75;82;83;86;69;90;87;41;84;25;31;37
9;60;78;77;84;63;76;75;78;66;79;93;84;88;90;63;8;9;11
10;11;29;26;16;12;43;60;67;49;22;76;41;34;19;70;92;78;89
11;91;83;65;89;85;77;78;78;78;88;84;78;80;39;77;6;12;10
12;76;92;93;90;81;64;62;70;71;87;30;75;60;82;86;11;13;10
13;42;79;70;76;53;68;68;58;54;67;91;66;89;88;52;8;15;15
14;76;93;87;94;89;70;64;92;90;72;64;78;57;50;92;15;7;12
15;65;86;81;80;79;82;78;82;92;71;77;96;90;92;79;12;10;10
16;84;87;75;92;92;87;83;91;85;82;75;80;48;32;87;4;4;8
17;94;80;82;84;80;68;72;71;71;88;78;89;76;35;80;10;11;11
18;90;83;76;90;88;88;85;90;80;80;90;83;69;35;83;8;14;14
19;14;36;42;18;17;38;50;37;43;22;79;35;43;22;69;85;88;90
20;14;33;35;23;13;46;52;61;45;36;68;38;23;15;44;91;72;88
21;67;89;82;88;80;50;52;66;52;61;66;86;85;87;87;8;13;13
22;89;78;52;82;80;75;76;77;59;87;88;92;84;48;77;5;13;10
23;13;55;59;48;30;54;60;51;35;25;77;43;29;30;70;86;91;87
24;93;81;64;89;89;88;80;86;91;88;81;76;65;24;83;15;6;14
25;33;59;59;57;58;63;75;54;55;78;89;65;92;88;50;3;2;3
26;88;82;73;91;90;96;96;92;83;79;75;83;62;38;82;5;7;6
27;90;82;72;88;89;94;91;91;88;77;68;84;63;55;82;14;9;14
28;59;85;82;78;69;59;65;62;66;86;88;87;87;87;77;14;16;12
29;83;89;83;90;85;73;67;83;76;86;54;70;64;55;89;15;15;14
30;77;85;78;93;90;94;86;94;93;75;53;75;34;26;87;4;14;10
31;79;89;83;95;94;75;69;87;90;69;64;70;58;64;89;8;12;6
32;80;91;88;91;84;75;73;79;81;84;50;92;46;56;91;14;7;6
33;79;88;83;92;91;89;75;92;93;83;59;79;59;49;90;7;9;6
34;88;77;64;82;79;93;95;76;70;82;79;76;43;48;77;9;15;9
35;55;81;85;81;68;53;64;63;60;71;68;66;69;92;79;6;10;6
36;70;84;76;92;90;83;82;86;86;83;76;91;84;85;82;5;5;9
37;86;85;80;85;87;94;95;82;65;92;87;75;65;59;79;15;11;6
38;10;50;50;34;10;65;62;55;54;23;74;41;31;27;30;84;68;92
39;92;75;59;85;84;73;73;75;69;86;79;70;50;20;74;12;7;10
40;38;80;80;80;62;70;72;68;68;71;90;74;76;89;72;12;5;10
41;10;36;34;16;12;51;55;47;36;22;78;41;25;22;41;86;69;89
42;15;37;35;28;26;49;43;55;49;39;75;39;38;28;50;87;74;83
43;51;81;73;77;69;71;73;68;66;83;89;78;81;87;58;10;14;15
44;91;73;54;81;77;77;78;76;76;84;94;72;56;22;64;9;5;9
45;19;66;56;60;66;68;75;50;40;55;81;71;87;88;43;11;7;5
46;73;86;90;90;87;71;79;74;64;90;83;88;78;66;87;6;2;3
47;15;30;37;19;16;54;53;60;61;21;74;39;32;20;68;81;75;90
48;87;77;73;72;80;77;90;60;46;88;71;84;75;27;76;15;14;10
49;90;74;49;83;83;78;85;77;63;86;77;80;77;40;65;8;15;6
50;73;84;74;84;80;93;93;90;85;64;81;91;75;84;70;15;13;13
51;86;82;74;89;91;93;85;94;92;80;60;75;59;36;83;10;8;4
52;56;79;74;76;71;61;65;61;60;80;85;75;84;89;68;10;9;7
53;79;88;83;87;86;69;68;76;66;82;71;84;56;72;86;6;4;14
54;83;87;90;87;84;66;59;72;66;84;39;84;67;75;86;11;12;9
55;64;81;80;78;59;49;60;58;36;62;74;65;72;88;62;11;14;8
56;81;79;64;85;88;93;96;88;81;86;64;79;61;34;82;12;9;14
57;75;85;79;91;92;84;74;90;88;70;50;78;58;49;86;10;14;9
58;14;56;58;37;23;64;63;60;48;42;58;41;35;25;67;80;91;87
59;84;79;71;86;87;95;93;91;86;82;75;84;73;35;82;10;15;14
60;52;76;78;73;70;74;77;61;49;81;85;71;81;86;59;10;13;11
61;77;84;69;87;88;95;92;93;93;73;57;78;38;30;77;12;12;9
62;87;86;75;88;87;78;77;80;81;81;81;90;73;58;85;11;9;10
63;40;75;76;77;57;83;85;63;40;52;79;73;77;82;56;11;9;14
64;60;90;89;88;90;69;62;87;94;56;64;77;89;84;87;12;15;10
