name_id;Potential;Club;Club Logo;Value;Position;
1;94;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;$110.500.000;RF;
2;94;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;$77.000.000;ST;
3;93;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;$118.500.000;LW;
4;93;Manchester United;https://cdn.sofifa.org/teams/2/light/11.png;$72.000.000;GK;
5;92;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;$102.000.000;RCM;
6;91;Chelsea;https://cdn.sofifa.org/teams/2/light/5.png;$93.000.000;LF;
7;91;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;$67.000.000;RCM;
8;91;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;$80.000.000;RS;
9;91;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;$51.000.000;RCB;
10;93;Atlético Madrid;https://cdn.sofifa.org/teams/2/light/240.png;$68.000.000;GK;
11;90;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;$77.000.000;ST;
12;90;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;$76.500.000;LCM;
13;90;Atlético Madrid;https://cdn.sofifa.org/teams/2/light/240.png;$44.000.000;CB;
14;90;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;$60.000.000;LCM;
15;90;Chelsea;https://cdn.sofifa.org/teams/2/light/5.png;$63.000.000;LDM;
16;94;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;$89.000.000;LF;
17;91;Tottenham Hotspur;https://cdn.sofifa.org/teams/2/light/18.png;$83.500.000;ST;
18;90;Atlético Madrid;https://cdn.sofifa.org/teams/2/light/240.png;$78.000.000;CAM;
19;92;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;$58.000.000;GK;
20;90;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;$53.500.000;GK;
21;89;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;$51.500.000;CDM;
22;89;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;$60.000.000;LS;
23;89;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;$38.000.000;GK;
24;89;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;$64.500.000;ST;
25;89;Juventus;https://cdn.sofifa.org/teams/2/light/45.png;$27.000.000;LCB;
26;95;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;$81.000.000;RM;
27;89;Liverpool;https://cdn.sofifa.org/teams/2/light/9.png;$69.500.000;RM;
28;90;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;$59.500.000;CDM;
29;89;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;$69.500.000;LAM;
30;88;Napoli;https://cdn.sofifa.org/teams/2/light/48.png;$62.000.000;LW;
31;91;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;$73.500.000;LW;
32;91;Tottenham Hotspur;https://cdn.sofifa.org/teams/2/light/18.png;$73.500.000;CAM;
33;89;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;$69.500.000;LW;
34;88;Arsenal;https://cdn.sofifa.org/teams/2/light/1.png;$59.000.000;LM;
35;88;FC Bayern München;https://cdn.sofifa.org/teams/2/light/21.png;$46.000.000;LCB;
36;88;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;$43.000.000;LB;
37;88;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;$60.000.000;ST;
38;88;Tottenham Hotspur;https://cdn.sofifa.org/teams/2/light/18.png;$36.000.000;GK;
39;88;Milan;https://cdn.sofifa.org/teams/2/light/47.png;$57.000.000;LS;
40;88;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;$24.000.000;RCB;
41;88;Inter;https://cdn.sofifa.org/teams/2/light/44.png;$30.000.000;GK;
42;88;Paris Saint-Germain;https://cdn.sofifa.org/teams/2/light/73.png;$4.000.000;GK;
43;92;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;$57.000.000;CB;
44;90;Inter;https://cdn.sofifa.org/teams/2/light/44.png;$64.500.000;ST;
45;90;Napoli;https://cdn.sofifa.org/teams/2/light/48.png;$51.000.000;LCB;
46;91;Manchester United;https://cdn.sofifa.org/teams/2/light/11.png;$64.000.000;RDM;
47;87;Real Madrid;https://cdn.sofifa.org/teams/2/light/243.png;$30.500.000;GK;
48;89;Manchester United;https://cdn.sofifa.org/teams/2/light/11.png;$62.500.000;ST;
49;87;Lazio;https://cdn.sofifa.org/teams/2/light/46.png;$52.000.000;ST;
50;87;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;$38.000.000;LB;
51;87;Napoli;https://cdn.sofifa.org/teams/2/light/48.png;$45.000.000;RF;
52;87;Tottenham Hotspur;https://cdn.sofifa.org/teams/2/light/18.png;$34.000.000;LCB;
53;87;Napoli;https://cdn.sofifa.org/teams/2/light/48.png;$46.500.000;LCM;
54;87;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;$46.500.000;RCM;
55;87;FC Barcelona;https://cdn.sofifa.org/teams/2/light/241.png;$34.000.000;RCB;
56;92;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;$61.000.000;LW;
57;91;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;$59.500.000;RW;
58;90;Manchester City;https://cdn.sofifa.org/teams/2/light/10.png;$41.500.000;GK;
